topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic
0.005564463950160811,0.9777204422778851,0.005565807532946615,0.0055753122997079475,0.00557397393929952,topic_1
0.007157917348951682,0.9714094790417583,0.007144378600041411,0.007144045611695087,0.007144179397553454,topic_1
0.014336054830043663,0.014287819799136365,0.014288577155726886,0.01428795062553263,0.9427995975895604,topic_4
0.949925697582548,0.01250210831517246,0.012502866823836388,0.012540626806422692,0.012528700472020374,topic_0
0.10002123561528281,0.10002143399417605,0.10002916412092065,0.5999028291750956,0.10002533709452482,topic_3
0.9691234084439647,0.007730688863743295,0.007703249015659765,0.007714247751271894,0.007728405925360225,topic_0
0.01673310396753246,0.01673381303197335,0.01683102760572746,0.9330331460891338,0.016668909305632775,topic_3
0.012517220691182671,0.01251739363960729,0.9499103720980645,0.012553127448684837,0.012501886122460566,topic_2
0.8666427013990011,0.03333853725025024,0.03334041497712436,0.033338861271588985,0.03333948510203534,topic_0
0.05000342590966364,0.050415651098770005,0.05000470118507381,0.05018683001935807,0.7993893917871345,topic_4
0.0200023945597754,0.020052650569476572,0.020003286125950256,0.020025165753925794,0.919916502990872,topic_4
0.011129014680200645,0.01111258976146628,0.011113121576939469,0.011121414587007552,0.9555238593943861,topic_4
0.03352002590079066,0.8664638642722152,0.033339412008084685,0.033338081656360236,0.033338616162549184,topic_1
0.020060038021653185,0.020001642915447038,0.020002233638578282,0.9197908775905402,0.020145207833781244,topic_3
0.016669067453977022,0.01672499907948771,0.01672195125884271,0.9332144520874281,0.01666953012026443,topic_3
0.03333895640242527,0.03351126425857689,0.03357892687490745,0.8662308121356656,0.033340040328424796,topic_3
0.03343602090590825,0.03333485979960955,0.0333354085543338,0.8664849026690288,0.033408808071119685,topic_3
0.03343602090590825,0.03333485979960955,0.0333354085543338,0.8664849026690288,0.033408808071119685,topic_3
0.020024998946641368,0.020056962268408574,0.020049807386096307,0.9196996152016264,0.020168616197227426,topic_3
0.9426757885851029,0.014346615365762387,0.014328503794394308,0.014360409867898416,0.014288682386842015,topic_0
0.02501384766587012,0.025157061611077933,0.025002018505705378,0.02508830801867901,0.8997387641986676,topic_4
0.010070693391456184,0.010095681748478667,0.010041031041909376,0.010065034454908127,0.9597275593632477,topic_4
0.799956248916989,0.05000950046931929,0.05001292788509182,0.05001009198967839,0.050011230738921456,topic_0
0.9553743458191107,0.011129854694185206,0.011167628820160782,0.011131055848236997,0.011197114818306382,topic_0
0.05000558861315793,0.05000486913468126,0.050006622879470365,0.7998721646809647,0.05011075469172576,topic_3
0.014314372163129967,0.01431464304198329,0.014288544891677937,0.9426384655841228,0.014443974319086016,topic_3
0.012680286149450807,0.9496946176017601,0.012532143452761943,0.012579575003002367,0.012513377793024702,topic_1
0.9690706226618776,0.00774819101532641,0.007709258944956403,0.007752374157168942,0.0077195532206707235,topic_0
0.03338357864434126,0.0334114470206045,0.03333905605162422,0.8665276114391967,0.03333830684423329,topic_3
0.9498818606389755,0.012502107960328501,0.01250286633365759,0.012502238957016673,0.012610926110021735,topic_0
0.011116576623220643,0.011112286284072442,0.011112708865895058,0.9555459284803935,0.011112499746418446,topic_3
0.02000136845284113,0.020001381211705853,0.020001878250342473,0.9199937398447814,0.02000163224032919,topic_3
0.9331470373511733,0.01667673575225014,0.016680417448165553,0.016779041616529437,0.016716767831881578,topic_0
0.011188833532599212,0.011124792160750196,0.95535955402017,0.011138863742712998,0.011187956543767547,topic_2
0.9634631041017785,0.009108029579433546,0.009098931775912996,0.00916786385483183,0.009162070688043011,topic_0
0.050303929057777044,0.05000505185489457,0.05000686897813554,0.7996781803871844,0.05000596972200837,topic_3
0.020050779528684885,0.02001101133177314,0.020015044000469613,0.02003453341470984,0.9198886317243625,topic_4
0.01254553245197837,0.012508274324518,0.012511305523128322,0.012679662605334359,0.949755225095041,topic_4
0.014467580300136977,0.942306831582394,0.014353243198291196,0.014349441173178443,0.014522903745999297,topic_1
0.025003673197585227,0.02521814244734315,0.025005041195776716,0.8994785687512519,0.025294574408043016,topic_3
0.014294861286965457,0.014342225377808718,0.014335231743080417,0.9426650406119677,0.014362640980177723,topic_3
0.9332709558619517,0.016669609297966598,0.016670668042616722,0.016669792175160354,0.016718974622304636,topic_0
0.011153639510440742,0.011137164065389055,0.9554574968304796,0.011138916229407715,0.011112783364282681,topic_2
0.03400854147905931,0.033367888976214406,0.03338058221486257,0.0333699494927927,0.8658730378370709,topic_4
0.05192390111382085,0.7968451746568542,0.050692062958553066,0.05052979324455725,0.05000906802621456,topic_1
0.02054033453596483,0.02011365958018944,0.020157775161494636,0.9188337769543451,0.02035445376800595,topic_3
